Date,INDEXBVMF:IBOV
2017-05-09,66277.67
2017-05-10,67349.73
2017-05-11,67537.61
2017-05-12,68221.94
2017-05-15,68474.19
2017-05-16,68684.5
2017-05-17,67540.25
2017-05-18,61597.06
2017-05-19,62639.31
2017-05-22,61673.49
2017-05-23,62662.48
2017-05-24,63257.36
2017-05-25,63226.79
2017-05-31,62711.47
2017-05-30,63962.26
2017-05-29,63760.94
2017-05-26,64085.41
2017-05-25,63226.79
2017-05-24,63257.36
2017-05-23,62662.48
2017-05-22,61673.49
2017-05-19,62639.31
2017-05-18,61597.06
2017-05-17,67540.25
2017-05-16,68684.5
2017-05-15,68474.19
2017-05-12,68221.94
2017-05-11,67537.61
2017-05-10,67349.73
2017-05-09,66277.67
2017-05-08,65526.04
2017-05-05,65709.74
2017-05-04,64862.61
2017-05-03,66093.78
2017-05-02,66721.75
2017-04-28,65403.25
2017-04-27,64676.55
2017-04-26,64861.92
2017-04-25,65148.35
2017-04-24,64389.01
2017-04-20,63760.62
2017-04-19,63406.97
2017-04-18,64158.84
2017-04-17,64334.93
2017-04-13,62826.28
2017-04-12,63891.68
2017-04-11,64359.79
2017-04-10,64649.81
2017-04-07,64593.1
2017-04-06,64222.72
2017-04-05,64774.76
2017-04-04,65768.91
2017-04-03,65211.48
2017-03-31,64984.07
2017-03-30,65265.98
2017-03-29,65528.29
2017-03-28,64640.45
2017-03-27,64308.39
2017-03-24,63853.77
2017-03-23,63530.79
2017-03-22,63521.33
2017-03-21,62980.37
2017-03-20,64884.27
2017-03-17,64209.94
2017-03-16,65782.85
2017-03-15,66234.87
2017-03-14,64699.46
2017-03-13,65534.3
2017-03-10,64675.46
2017-03-09,64585.24
2017-03-08,64718.02
2017-03-07,65742.32
2017-03-06,66341.37
2017-03-03,66785.53
2017-03-02,65854.93
2017-03-01,66988.88
2017-02-24,66662.1
2017-02-23,67461.39
2017-02-22,68589.54
2017-02-21,69052.03
2017-02-20,68532.86
2017-02-17,67748.42
2017-02-16,67814.24
2017-02-15,67975.58
2017-02-14,66712.88
2017-02-13,66967.64
2017-02-10,66124.53
2017-02-09,64964.89
2017-02-08,64835.4
2017-02-07,64198.9
2017-02-06,63992.93
2017-02-03,64953.93
2017-02-02,64578.22
2017-02-01,64836.13
2017-01-31,64670.78
2017-01-30,64301.73
2017-01-27,66033.99
2017-01-26,66190.62
2017-01-24,65840.09
2017-01-23,65748.63
2017-01-20,64521.18
2017-01-19,63950.86
2017-01-18,64149.58
2017-01-17,64354.34
2017-01-16,63831.28
2017-01-13,63651.52
2017-01-12,63953.93
2017-01-11,62446.26
2017-01-10,62131.8
2017-01-09,61700.29
2017-01-06,61665.37
2017-01-05,62070.98
2017-01-04,61589.06
2017-01-03,61813.83
2017-01-02,59588.7
2016-12-29,60227.29
2016-12-28,59781.63
2016-12-27,58696.69
2016-12-26,58620.26
2016-12-23,57937.11
2016-12-22,57255.22
2016-12-21,57646.52
2016-12-20,57582.89
2016-12-19,57110.99
2016-12-16,58389.04
2016-12-15,58396.16
2016-12-14,58212.12
2016-12-13,59280.57
2016-12-12,59178.62
2016-12-09,60500.62
2016-12-08,60676.57
2016-12-07,61414.4
2016-12-06,61088.25
2016-12-05,59831.73
2016-12-02,60316.13
2016-12-01,59506.54
2016-11-30,61906.36
